ZCTA5CE20,AFFGEOID20,GEOID20,NAME20,LSAD20,ALAND20,AWATER20,LocationID,no_leisure_pa,mental_distress
01337,860Z200US01337,01337,01337,Z5,96844938,158781,01337,21.2,15.9
02325,860Z200US02325,02325,02325,Z5,789349,1294,02325,27.9,38.8
01223,860Z200US01223,01223,01223,Z5,180116091,5024481,01223,22.2,15.3
02199,860Z200US02199,02199,02199,Z5,148321,0,02199,16.6,13.8
01050,860Z200US01050,01050,01050,Z5,107144430,2583945,01050,23,17.4
01523,860Z200US01523,01523,01523,Z5,71046545,1370217,01523,18.7,14.6
01073,860Z200US01073,01073,01073,Z5,72918526,2082889,01073,20,16.1
01262,860Z200US01262,01262,01262,Z5,51163319,2257637,01262,23,13.3
01747,860Z200US01747,01747,01747,Z5,13403684,442867,01747,18.7,14.8
01096,860Z200US01096,01096,01096,Z5,92937599,842508,01096,20.1,15.7
01905,860Z200US01905,01905,01905,Z5,7899658,1146185,01905,26.3,17.8
02324,860Z200US02324,02324,02324,Z5,69886120,2900606,02324,19.6,16.1
01089,860Z200US01089,01089,01089,Z5,43331574,2086320,01089,26.7,17.8
01027,860Z200US01027,01027,01027,Z5,105117136,1207848,01027,21.2,16.8
02702,860Z200US02702,02702,02702,Z5,43519568,2930989,02702,19.2,15.4
01566,860Z200US01566,01566,01566,Z5,64727988,2567930,01566,19.6,14.6
01702,860Z200US01702,01702,01702,Z5,21266303,2172804,01702,21.9,18.7
02460,860Z200US02460,02460,02460,Z5,3490994,23572,02460,13.7,12
01810,860Z200US01810,01810,01810,Z5,79050120,3442277,01810,15.3,13
02446,860Z200US02446,02446,02446,Z5,3326265,12178,02446,14.7,14.1
02703,860Z200US02703,02703,02703,Z5,69315047,2572080,02703,23.5,16.7
02302,860Z200US02302,02302,02302,Z5,23003344,53235,02302,26.4,19.7
01093,860Z200US01093,01093,01093,Z5,11172806,15740,01093,18.9,15.7
02539,860Z200US02539,02539,02539,Z5,69445842,53089125,02539,22.7,16.9
02032,860Z200US02032,02032,02032,Z5,6056006,156977,02032,15.2,12.9
01521,860Z200US01521,01521,01521,Z5,31810569,1990947,01521,23.2,17.4
01035,860Z200US01035,01035,01035,Z5,59786660,3959620,01035,16.4,14.3
02718,860Z200US02718,02718,02718,Z5,26647485,852465,02718,28,20.4
01851,860Z200US01851,01851,01851,Z5,8362293,290032,01851,25.4,16.6
02639,860Z200US02639,02639,02639,Z5,7243252,671481,02639,21.8,15
02664,860Z200US02664,02664,02664,Z5,18090074,2264163,02664,22.7,14.4
01752,860Z200US01752,01752,01752,Z5,54026863,3203986,01752,19.6,16.6
02072,860Z200US02072,02072,02072,Z5,41662669,969179,02072,22,16.1
01854,860Z200US01854,01854,01854,Z5,10257175,1177249,01854,23.4,19.4
01434,860Z200US01434,01434,01434,Z5,16865360,358223,01434,19.1,14
02467,860Z200US02467,02467,02467,Z5,12705527,476664,02467,13.6,15.2
02050,860Z200US02050,02050,02050,Z5,74488964,8837422,02050,17.6,14.7
02130,860Z200US02130,02130,02130,Z5,9169529,322138,02130,17.7,15.4
01440,860Z200US01440,01440,01440,Z5,63474669,3252347,01440,27.3,18.5
02452,860Z200US02452,02452,02452,Z5,9876411,87629,02452,17.8,17.7
02163,860Z200US02163,02163,02163,Z5,475171,0,02163,14.6,17.7
01913,860Z200US01913,01913,01913,Z5,31836415,3729019,01913,18.8,16.2
01901,860Z200US01901,01901,01901,Z5,702544,68752,01901,37.1,19.7
01360,860Z200US01360,01360,01360,Z5,88863583,2812853,01360,19.9,15.1
02056,860Z200US02056,02056,02056,Z5,38584896,1292531,02056,13.7,12.6
02764,860Z200US02764,02764,02764,Z5,28230398,271073,02764,21.3,17
02652,860Z200US02652,02652,02652,Z5,21759212,7336306,02652,21.1,12.6
01542,860Z200US01542,01542,01542,Z5,10911676,423530,01542,23.5,16.1
02472,860Z200US02472,02472,02472,Z5,10438170,332978,02472,15.5,14.2
02461,860Z200US02461,02461,02461,Z5,3976047,45954,02461,12.5,10.6
02667,860Z200US02667,02667,02667,Z5,43842781,12938340,02667,18.5,12.4
01453,860Z200US01453,01453,01453,Z5,68269233,1190779,01453,24.7,17.3
02724,860Z200US02724,02724,02724,Z5,4664630,1211542,02724,34.1,22.3
01742,860Z200US01742,01742,01742,Z5,62482814,3366086,01742,13.4,11.2
02215,860Z200US02215,02215,02215,Z5,2290323,334746,02215,19.1,23.3
02747,860Z200US02747,02747,02747,Z5,106196771,3918469,02747,21.7,18.4
01902,860Z200US01902,01902,01902,Z5,6137720,355962,01902,30.4,19.2
01060,860Z200US01060,01060,01060,Z5,28147405,3248228,01060,17.4,15.5
02139,860Z200US02139,02139,02139,Z5,4019199,531494,02139,14.3,16.2
01907,860Z200US01907,01907,01907,Z5,7829328,1473056,01907,16.6,13.6
01226,860Z200US01226,01226,01226,Z5,56356197,256362,01226,21.7,16.1
01095,860Z200US01095,01095,01095,Z5,58246826,751983,01095,19.8,14.3
01341,860Z200US01341,01341,01341,Z5,86923693,284891,01341,18.3,13.8
01773,860Z200US01773,01773,01773,Z5,35904391,2003910,01773,15.7,11.5
01560,860Z200US01560,01560,01560,Z5,9225421,261394,01560,17.8,14.1
02663,860Z200US02663,02663,02663,Z5,7398019,5890594,02663,17.6,13.1
02464,860Z200US02464,02464,02464,Z5,1425965,29229,02464,14.9,12.3
02053,860Z200US02053,02053,02053,Z5,29879908,341232,02053,16.8,14.5
01380,860Z200US01380,01380,01380,Z5,16828338,267549,01380,17.9,14.5
02474,860Z200US02474,02474,02474,Z5,7921394,473161,02474,13.6,12.6
01080,860Z200US01080,01080,01080,Z5,4313061,256694,01080,26,19.6
01070,860Z200US01070,01070,01070,Z5,51384243,596478,01070,20,14.1
01772,860Z200US01772,01772,01772,Z5,35261324,3917459,01772,15.9,12.5
01039,860Z200US01039,01039,01039,Z5,42712270,609260,01039,18.9,15.1
02642,860Z200US02642,02642,02642,Z5,36176252,8813470,02642,20.2,12.7
02128,860Z200US02128,02128,02128,Z5,13013996,2887418,02128,25.6,19.1
01351,860Z200US01351,01351,01351,Z5,50744988,1127581,01351,19,16.2
01776,860Z200US01776,01776,01776,Z5,63216192,1237193,01776,12.1,11.4
01607,860Z200US01607,01607,01607,Z5,7838278,137282,01607,27.1,18.7
01844,860Z200US01844,01844,01844,Z5,57235671,2010287,01844,22.2,15.9
02127,860Z200US02127,02127,02127,Z5,5329383,1638885,02127,14.6,16.2
02186,860Z200US02186,02186,02186,Z5,35472529,1251452,02186,16.7,14
02143,860Z200US02143,02143,02143,Z5,4000419,0,02143,12.7,15.3
02360,860Z200US02360,02360,02360,Z5,249631360,36420300,02360,18.9,15.2
02382,860Z200US02382,02382,02382,Z5,17964266,59307,02382,19.2,16.9
02135,860Z200US02135,02135,02135,Z5,6733233,117694,02135,17.4,17.5
01550,860Z200US01550,01550,01550,Z5,52416905,1612700,01550,31.8,19.8
02109,860Z200US02109,02109,02109,Z5,439201,294934,02109,14.1,14.7
02673,860Z200US02673,02673,02673,Z5,24010170,9003982,02673,21.1,15
02571,860Z200US02571,02571,02571,Z5,48437269,21293992,02571,22.9,17
02553,860Z200US02553,02553,02553,Z5,512178,1878048,02553,24.7,14.9
01501,860Z200US01501,01501,01501,Z5,39511908,2408374,01501,20.4,15.2
01921,860Z200US01921,01921,01921,Z5,61109617,2200409,01921,13.1,12.1
02653,860Z200US02653,02653,02653,Z5,31214546,13567799,02653,20.2,11.8
01518,860Z200US01518,01518,01518,Z5,31698827,1929648,01518,18.8,15.5
01545,860Z200US01545,01545,01545,Z5,53749207,2773546,01545,18.8,13.3
01588,860Z200US01588,01588,01588,Z5,20962854,1821306,01588,23.2,17.8
02169,860Z200US02169,02169,02169,Z5,31326951,3719209,02169,20.8,15
02140,860Z200US02140,02140,02140,Z5,3000185,55956,02140,13.4,13.4
01109,860Z200US01109,01109,01109,Z5,14092648,501561,01109,36,22.9
02131,860Z200US02131,02131,02131,Z5,7219980,18985,02131,21.7,15.8
01119,860Z200US01119,01119,01119,Z5,9144298,251455,01119,30.5,20.2
02119,860Z200US02119,02119,02119,Z5,4183288,0,02119,32.6,21.2
01760,860Z200US01760,01760,01760,Z5,38282127,2585716,01760,13.9,12.4
02138,860Z200US02138,02138,02138,Z5,7092066,846332,02138,13.5,16.3
01010,860Z200US01010,01010,01010,Z5,91236290,1421542,01010,19.9,14.8
01966,860Z200US01966,01966,01966,Z5,18098036,4176221,01966,17.5,12.4
02554,860Z200US02554,02554,02554,Z5,103565881,41992858,02554,17,14.2
01258,860Z200US01258,01258,01258,Z5,57628910,390424,01258,21.4,14.2
01072,860Z200US01072,01072,01072,Z5,49451048,653645,01072,16.3,13.9
02468,860Z200US02468,02468,02468,Z5,3978271,45929,02468,11.5,10.4
01469,860Z200US01469,01469,01469,Z5,55982896,587943,01469,19.4,17
01965,860Z200US01965,01965,01965,Z5,2277205,16067,01965,17.9,15.8
01757,860Z200US01757,01757,01757,Z5,39197844,706214,01757,24.1,17.7
01721,860Z200US01721,01721,01721,Z5,31954435,1389649,01721,14.9,13.4
01012,860Z200US01012,01012,01012,Z5,31252640,372019,01012,15.7,13.3
01349,860Z200US01349,01349,01349,Z5,25562209,325579,01349,20,17.2
01930,860Z200US01930,01930,01930,Z5,67852028,13991607,01930,21.2,15.8
01129,860Z200US01129,01129,01129,Z5,8899440,227899,01129,26.5,17
02114,860Z200US02114,02114,02114,Z5,1148431,265592,02114,13.7,15.3
02671,860Z200US02671,02671,02671,Z5,4491710,428304,02671,23.6,14
01069,860Z200US01069,01069,01069,Z5,72670135,836920,01069,26.5,18.4
02134,860Z200US02134,02134,02134,Z5,3196898,248209,02134,15.6,17.8
01013,860Z200US01013,01013,01013,Z5,14659172,1514245,01013,29.8,19.8
02184,860Z200US02184,02184,02184,Z5,35646051,2076791,02184,18.6,13.8
02535,860Z200US02535,02535,02535,Z5,63107703,65886192,02535,18.8,12.5
01537,860Z200US01537,01537,01537,Z5,17638391,295298,01537,19.5,15.7
02121,860Z200US02121,02121,02121,Z5,4883837,27540,02121,34.1,21.3
01007,860Z200US01007,01007,01007,Z5,142111112,6936467,01007,19.1,15.9
02346,860Z200US02346,02346,02346,Z5,178819754,8201809,02346,21.2,16.6
01801,860Z200US01801,01801,01801,Z5,32905476,761146,01801,18,15.4
02420,860Z200US02420,02420,02420,Z5,18227365,124757,02420,14.5,10.4
01749,860Z200US01749,01749,01749,Z5,29855341,874321,01749,17.9,15.4
02564,860Z200US02564,02564,02564,Z5,15718343,3058208,02564,20.7,13.6
01038,860Z200US01038,01038,01038,Z5,23888136,2241180,01038,22.5,16.4
02638,860Z200US02638,02638,02638,Z5,14598332,628545,02638,20.5,11.9
01379,860Z200US01379,01379,01379,Z5,55888081,520084,01379,22.6,14.9
01330,860Z200US01330,01330,01330,Z5,89285520,622786,01330,16.5,12.8
01054,860Z200US01054,01054,01054,Z5,59390376,425598,01054,17.5,13.6
01969,860Z200US01969,01969,01969,Z5,47139607,5571513,01969,16.3,14.5
02540,860Z200US02540,02540,02540,Z5,28502285,4924536,02540,20.9,12.8
02648,860Z200US02648,02648,02648,Z5,25856964,2665942,02648,17.1,14.3
02339,860Z200US02339,02339,02339,Z5,40242021,236963,02339,18.2,15.2
01376,860Z200US01376,01376,01376,Z5,10563996,1131367,01376,22.8,17.8
02341,860Z200US02341,02341,02341,Z5,38604421,1850993,02341,18.7,16
